Date,bitcoin,btc,cryptocurrency
01-04-2016,"31,420","8,085",0
01-05-2016,"34,770","8,563",0
01-06-2016,"32,068","8,089",0
01-07-2016,"34,203","8,927",0
01-08-2016,"33,726","8,532",0
01-09-2016,"28,027","7,787",0
01-10-2016,"29,443","7,217",0
01-11-2016,"32,492","8,508",0
01-12-2016,"33,582","8,340",0
1-13-2016,"35,716","8,302",0
1-14-2016,"37,140","8,262",0
1-15-2016,"51,378","9,281",0
1-16-2016,"40,457","9,123",0
1-17-2016,"33,771","7,269",0
1-18-2016,"40,878","7,965",0
1-19-2016,"38,260","7,489",0
1-20-2016,"44,135","8,669",0
1-21-2016,"42,025","8,929",0
1-22-2016,"40,008","9,120",0
1-23-2016,"33,364","7,712",0
1-24-2016,"30,408","7,381",0
1-25-2016,"36,388","7,370",0
1-26-2016,"40,480","7,674",0
1-27-2016,"36,695","8,452",0
1-28-2016,"34,329","7,459",0
1-29-2016,"32,294","7,156",0
1-30-2016,"29,792","7,162",0
1-31-2016,"30,650","7,323",0
02-01-2016,"36,869","7,822",0
02-02-2016,"36,103","7,689",0
02-03-2016,"36,830","7,434",0
02-04-2016,"34,060","7,163",0
02-05-2016,"35,399","8,710",0
02-06-2016,"31,338","10,215",0
02-07-2016,"32,157","9,056",0
02-08-2016,"36,582","9,107",0
02-09-2016,"35,189","8,755",0
02-10-2016,"36,539","10,079",0
02-11-2016,"46,155","10,901",0
02-12-2016,"37,703","9,286",0
2-13-2016,"34,422","8,758",0
2-14-2016,"36,925","8,691",0
2-15-2016,"37,637","9,389",0
2-16-2016,"43,459","9,584",0
2-17-2016,"39,941","8,875",0
2-18-2016,"42,228","8,800",0
2-19-2016,"36,421","10,970",0
2-20-2016,"33,543","9,889",0
2-21-2016,"35,030","9,124",0
2-22-2016,"39,652","10,588",0
2-23-2016,"38,318","9,402",0
2-24-2016,"41,511","10,131",0
2-25-2016,"44,904","9,756",0
2-26-2016,"43,754","10,438",0
2-27-2016,"35,189","9,833",0
2-28-2016,"39,864","9,100",0
2-29-2016,"40,561","9,205",0
03-01-2016,"37,034","8,753",0
03-02-2016,"38,638","10,150",0
03-03-2016,"43,445","10,779",0
03-04-2016,"42,388","14,688",0
03-05-2016,"39,462","10,402",0
03-06-2016,"37,699","10,308",0
03-07-2016,"43,139","10,572",0
03-08-2016,"39,971","9,370",0
03-09-2016,"40,872","9,716",0
03-10-2016,"49,095","9,591",0
03-11-2016,"46,091","9,604",0
03-12-2016,"39,947","9,981",0
3-13-2016,"36,794","9,354",0
3-14-2016,"47,892","11,658",0
3-15-2016,"43,156","10,500",0
3-16-2016,"44,937","9,430",0
3-17-2016,"41,604","8,929",0
3-18-2016,"36,870","8,990",0
3-19-2016,"34,303","8,561",0
3-20-2016,"29,765","8,623",0
3-21-2016,"36,443","9,674",0
3-22-2016,"35,736","9,405",0
3-23-2016,"35,665","8,628",0
3-24-2016,"32,342","9,045",0
3-25-2016,"30,605","8,724",0
3-26-2016,"27,713","8,365",0
3-27-2016,"27,856","9,130",0
3-28-2016,"35,486","7,630",0
3-29-2016,"35,452","7,836",0
3-30-2016,"36,394","8,036",0
3-31-2016,"35,199","7,749",0
04-01-2016,"36,246","8,145",0
04-02-2016,"31,240","7,688",0
04-03-2016,"29,468","7,092",0
04-04-2016,"34,403","7,690",0
04-05-2016,"34,542","7,620",0
04-06-2016,"35,271","8,203",0
04-07-2016,"32,945","8,037",0
04-08-2016,"33,426","8,506",0
04-09-2016,"27,931","7,382",0
04-10-2016,"27,673","7,677",0
04-11-2016,"35,110","8,944",0
04-12-2016,"34,186","9,501",0
4-13-2016,"33,780","9,036",0
4-14-2016,"34,850","8,691",0
4-15-2016,"35,462","8,713",0
4-16-2016,"28,536","8,123",0
4-17-2016,"25,858","8,245",0
4-18-2016,"31,351","8,185",0
4-19-2016,"32,759","9,138",0
4-20-2016,"31,981","9,163",0
4-21-2016,"34,033","9,223",0
4-22-2016,"35,888","9,236",0
4-23-2016,"31,572","8,377",0
4-24-2016,"32,509","8,481",0
4-25-2016,"40,071","9,526",0
4-26-2016,"38,342","10,069",0
4-27-2016,"38,497","8,962",0
4-28-2016,"38,331","9,235",0
4-29-2016,"33,394","9,437",0
4-30-2016,"27,821","9,254",0
05-01-2016,"28,137","9,300",0
05-02-2016,"1,18,338","10,682",0
05-03-2016,"57,148","9,229",0
05-04-2016,"41,479","8,613",0
05-05-2016,"50,522","7,369",0
05-06-2016,"39,408","7,424",0
05-07-2016,"29,445","6,949",0
05-08-2016,"30,110","9,624",0
05-09-2016,"36,338","9,246",0
05-10-2016,"34,383","8,105",0
05-11-2016,"33,660","8,724",0
05-12-2016,"32,587","9,213",0
5-13-2016,"32,819","9,289",0
5-14-2016,"29,853","8,997",0
5-15-2016,"28,155","8,189",0
5-16-2016,"35,379","8,931",0
5-17-2016,"40,950","9,045",0
